proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\DataSet\SequenceDataSet.vb,12,0,4,8,1,1,0,1,0,323,323 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\DataLeftJoin.vb,59,3,13,43,1,1,1,6,0,1960,1.96 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\LinqKeywordExpression.vb,20,3,5,12,1,1,0,0,0,566,566 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\OutputProjection.vb,41,7,9,25,1,2,1,2,0,1333,1.33 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\WhereFilter.vb,28,3,6,19,1,1,1,2,0,766,766 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\BinaryExpression.vb,82,3,15,64,1,3,1,2,0,2583,2.58 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\Literal.vb,46,0,8,38,1,3,1,2,0,1483,1.48 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\MemberReference.vb,51,0,11,40,1,1,1,2,0,1843,1.84 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\RunTimeValueExpression.vb,36,3,8,25,1,1,1,3,0,1125,1.12 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\SymbolDeclare.vb,94,12,13,69,1,4,0,3,0,3719,3.72 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\SymbolReference.vb,35,0,8,27,1,1,1,2,0,1026,1.03 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\ValueAssign.vb,25,0,6,19,1,1,1,1,0,733,733 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Expressions\VectorLiteral.vb,21,0,5,16,1,2,0,2,0,613,613 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Options\OrderBy.vb,93,0,17,76,1,1,1,5,0,3553,3.55 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Options\PipelineKeyword.vb,44,14,8,22,1,0,0,1,0,1928,1.93 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Options\SkipItems.vb,45,3,9,33,1,1,1,3,0,1411,1.41 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression\Options\TakeItems.vb,45,3,9,33,1,1,1,3,0,1411,1.41 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Query\AggregateExpression.vb,22,3,4,15,1,1,1,1,0,705,705 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Query\Options.vb,48,0,12,36,1,0,1,2,0,1603,1.60 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Query\ProjectionExpression.vb,139,12,29,98,1,1,2,4,0,4621,4.62 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Query\QueryExpression.vb,53,16,8,29,1,1,1,3,0,1932,1.93 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Syntax\BinaryBuilder.vb,118,0,15,103,1,0,1,3,0,4943,4.94 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Syntax\StackParser.vb,182,10,27,145,1,0,0,11,0,7306,7.31 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Syntax\SyntaxImplements.vb,516,44,80,392,1,0,0,17,0,22320,22.32 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Syntax\SyntaxParserResult.vb,44,0,9,35,1,1,3,1,0,1249,1.25 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Code.vb,52,6,8,38,1,0,0,4,0,1794,1.79 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenLine.vb,57,6,11,40,1,2,1,2,0,1692,1.69 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenType.vb,73,39,8,26,1,0,0,0,0,1674,1.67 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\Extensions.vb,181,25,25,131,1,0,0,4,0,6911,6.91 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxBuilderOptions.vb,110,11,19,80,5,4,1,4,0,3985,3.98 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxError.vb,62,0,12,50,1,7,0,3,0,2591,2.59 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxResult.vb,104,22,18,64,1,1,3,4,2,3955,3.96 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\ClosureExpressionSyntax.vb,144,16,29,99,1,0,0,2,0,5277,5.28 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\CommandLine.vb,120,21,17,82,2,0,0,4,0,4641,4.64 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\CreateObjectSyntax.vb,47,0,8,39,1,0,0,2,0,1869,1.87 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\DeclareLambdaFunctionSyntax.vb,94,7,9,78,1,0,0,3,0,4073,4.07 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\DeclareNewFunctionSyntax.vb,144,16,20,108,1,0,0,4,0,6191,6.19 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\DeclareNewSymbolSyntax.vb,304,38,47,219,1,0,0,7,0,12194,12.19 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\ForLoopSyntax.vb,125,2,18,105,1,0,0,3,0,4904,4.90 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\FormulaExpressionSyntax.vb,45,0,10,35,1,0,0,3,0,1937,1.94 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\FunctionAcceptorSyntax.vb,66,0,11,55,1,0,0,4,0,2793,2.79 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\FunctionInvokeSyntax.vb,138,12,17,109,1,0,0,6,0,5641,5.64 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\IfBranchSyntax.vb,160,12,24,124,1,0,0,5,0,6732,6.73 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\LinqExpressionSyntax.vb,41,6,5,30,1,0,0,1,0,1654,1.65 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\RequireSyntax.vb,87,4,10,73,1,0,0,2,0,3700,3.70 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\StringInterpolationSyntax.vb,42,0,6,36,1,0,0,1,0,1797,1.80 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\SwitchClosureSyntax.vb,80,0,12,68,1,0,0,1,0,3793,3.79 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\SymbolIndexer.vb,207,41,31,135,1,0,2,3,0,7873,7.87 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\TryCatchSyntax.vb,40,2,9,29,1,0,0,1,0,1490,1.49 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\UsingClosureSyntax.vb,54,0,9,45,1,0,0,1,0,2221,2.22 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\ValueAssignSyntax.vb,80,0,11,69,1,0,0,2,0,3318,3.32 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\VectorLiteral.vb,225,14,31,180,1,0,0,7,0,10136,10.14 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxImplements\WhileLoopSyntax.vb,36,0,7,29,1,0,0,1,0,1443,1.44 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\ExpressionBuilder.vb,527,40,72,415,1,0,0,6,0,24405,24.41 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\ExpressionSignature.vb,426,71,49,306,1,0,0,23,0,15313,15.31 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\ExpressionTree.vb,262,17,37,208,1,0,0,6,0,12188,12.19 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\Splitter.vb,89,5,13,71,1,0,0,1,0,3606,3.61 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\BinaryExpressionTree.vb,474,49,71,354,1,0,0,8,0,21379,21.38 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\GenericSymbolOperatorProcessor.vb,75,2,18,55,2,1,2,2,0,2571,2.57 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\NameMemberReference.vb,140,11,22,107,4,0,2,6,0,5974,5.97 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\NamespaceReference.vb,84,3,14,67,1,0,1,2,0,3497,3.50 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\PipelineProcessor.vb,137,7,21,109,1,0,1,4,0,5418,5.42 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\Syntax\SyntaxTree\BinaryExpressionTree\VectorAppendProcessor.vb,27,0,5,22,1,0,1,2,0,980,980 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenIcer\JoinToken.vb,8,0,3,5,1,1,0,0,0,150,150 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenIcer\Scanner.vb,555,83,72,400,3,1,1,8,0,23530,23.53 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenIcer\StringInterpolation.vb,95,6,20,69,1,1,1,3,0,3175,3.17 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Language\TokenIcer\Token.vb,74,11,10,53,1,2,2,0,2,2695,2.69 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\My Project\Resources.Designer.vb,102,50,10,42,1,4,0,0,0,4727,4.73 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Extensions.vb,208,56,27,125,1,0,0,7,0,7857,7.86 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\graphicsPipeline.vb,186,7,24,155,1,0,1,8,0,7833,7.83 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\MagicScriptSymbol.vb,67,12,7,48,1,9,0,2,0,2522,2.52 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\RTypeExtensions.vb,176,49,13,114,1,0,1,7,0,7687,7.69 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\RVectorExtensions.vb,567,110,67,390,1,0,0,15,0,21877,21.88 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\ClosureEnvironment.vb,85,22,14,49,1,0,1,3,0,3246,3.25 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\Environment.vb,833,304,100,429,1,9,14,16,0,36222,36.22 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\EnvironmentExtensions.vb,55,0,8,47,1,1,0,2,0,2155,2.15 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\GlobalEnvironment.vb,306,68,43,195,1,15,4,7,0,12643,12.64 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\ObjectEnvironment.vb,52,23,7,22,1,0,1,1,0,1595,1.59 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\PackageEnvironment.vb,77,1,16,60,1,2,2,4,0,2977,2.98 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\PolyglotInteropEnvironment.vb,126,13,22,91,1,0,5,2,0,4676,4.68 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\SymbolLanguageProcessor.vb,82,0,17,65,1,0,1,2,0,2909,2.91 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\SymbolNamespaceSolver.vb,183,35,30,118,1,3,1,9,0,7708,7.71 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\Device\OutputEnvironments.vb,8,0,1,7,1,0,0,0,0,129,129 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Environment\Device\RContentOutput.vb,206,26,36,144,1,5,13,0,0,6665,6.67 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\debug.vb,362,97,49,216,1,1,3,10,0,14479,14.48 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\generic.vb,218,57,31,130,3,0,1,8,0,8471,8.47 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\invoke.vb,182,35,16,131,1,1,2,7,0,7715,7.71 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\lambdaExtensions.vb,45,6,5,34,1,0,0,2,0,1800,1.80 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\applys.vb,536,108,74,354,1,0,0,8,0,22721,22.72 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\base.vb,3166,1423,267,1476,3,3,2,72,0,143876,143.88 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\env.vb,523,189,52,282,1,0,0,21,0,23602,23.60 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\etc.vb,287,105,23,159,1,0,1,12,0,12408,12.41 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\file.vb,1541,519,147,875,1,0,3,47,0,69411,69.41 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\reflections.vb,186,84,16,86,1,0,0,4,0,8250,8.25 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\save.vb,271,124,31,116,1,0,1,4,0,13070,13.07 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\set.vb,506,165,58,283,1,0,0,13,0,22439,22.44 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\utils.vb,1272,497,114,661,1,0,3,25,0,60802,60.80 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\dev\bitView.vb,46,0,9,37,1,0,0,6,0,1696,1.70 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\dev\devtools.vb,263,62,33,168,2,1,4,13,0,11579,11.58 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\dev\PInvoke.vb,97,3,19,75,1,1,1,3,0,4077,4.08 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\dev\RCurl.vb,48,19,5,24,1,0,0,1,0,2065,2.06 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\dev\rust.vb,191,67,21,103,1,0,0,8,0,8308,8.31 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\graphics\drawing.vb,9,0,3,6,0,0,0,0,0,204,204 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\graphics\graphics.vb,554,140,69,345,1,1,2,17,0,23265,23.27 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\graphics\graphicsDevice.vb,88,33,10,45,1,2,0,3,0,2973,2.97 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\Group.vb,110,8,19,83,1,1,1,8,0,3942,3.94 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\lambda.vb,65,2,10,53,1,0,0,2,0,2947,2.95 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\linq.vb,1569,500,177,892,3,0,1,41,0,70910,70.91 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\orders.vb,8,0,1,7,1,0,0,0,0,156,156 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\parallelApplys.vb,259,48,36,175,1,0,2,2,0,11176,11.18 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\reshape2.vb,113,19,15,79,1,0,0,4,0,5050,5.05 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Linq\search.vb,58,0,11,47,1,0,0,4,0,2212,2.21 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Math\math.vb,871,395,83,393,3,6,1,32,0,37272,37.27 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Math\ranking.vb,144,88,9,47,1,0,0,3,0,7438,7.44 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Math\time.vb,17,0,4,13,1,0,0,2,0,450,450 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\Math\varUseMethods.vb,15,0,5,10,1,0,0,0,0,375,375 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\string\humanReadableFormatter.vb,46,11,5,30,1,0,0,3,0,1739,1.74 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\string\stringr.vb,1049,285,100,664,1,0,0,37,0,43240,43.24 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\string\strings.vb,315,123,25,167,1,0,0,12,0,14540,14.54 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\internalInvokes\string\str_padSides.vb,8,0,1,7,1,0,0,0,0,138,138 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\doApply.vb,19,0,5,14,2,0,0,1,0,431,431 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\invisible.vb,17,5,4,8,1,1,0,1,0,434,434 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\names.vb,253,14,38,201,1,0,0,11,0,9975,9.97 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\reflector.vb,221,22,40,159,1,0,0,6,0,8353,8.35 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\unit.vb,18,0,5,13,1,1,2,1,0,353,353 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\base\dataframeBase.vb,95,16,15,64,1,0,0,3,0,3702,3.70 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\dataframe.vb,715,251,79,385,1,5,2,24,0,28687,28.69 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\factor.vb,121,19,18,84,1,3,1,4,0,4077,4.08 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\invalidObject.vb,40,7,9,24,1,2,1,1,0,1087,1.09 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\list.vb,473,124,65,284,1,3,7,21,0,17106,17.11 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\matrix.vb,10,0,4,6,1,1,0,0,0,204,204 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\pipeline.vb,278,51,42,185,1,3,3,9,0,11970,11.97 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\S4Object.vb,6,0,2,4,1,0,0,0,0,94,94 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\vbObject.vb,260,40,32,188,1,2,2,12,0,11064,11.06 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\dataset\vector.vb,332,50,54,228,1,4,7,12,2,12310,12.31 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\Linq\DataframeGroup.vb,83,6,15,62,1,0,0,3,0,3017,3.02 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\Linq\RCType.vb,10,0,4,6,1,0,0,0,0,179,179 B
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\castList.vb,261,14,42,205,1,0,0,8,0,10459,10.46 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\castRaw.vb,107,8,16,83,1,0,0,2,0,4237,4.24 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\conversion.vb,1185,358,120,707,1,0,0,28,0,53560,53.56 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\makeDataframe.vb,313,41,46,226,3,0,2,12,0,12624,12.62 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\makeList.vb,96,7,14,75,1,0,0,3,0,3504,3.50 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\makeObject.vb,43,1,8,34,1,0,0,2,0,1608,1.61 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\RConversion\RCType.vb,162,28,21,113,1,0,1,2,0,7777,7.78 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\utils\TableFormatter.vb,123,7,21,95,1,0,0,3,0,5044,5.04 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\utils\TableJoint.vb,52,0,8,44,1,0,0,1,0,2396,2.40 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\objects\utils\TableRow.vb,46,6,6,34,1,0,0,3,0,1569,1.57 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\printer\classPrinter.vb,123,14,20,89,1,0,0,5,0,4718,4.72 KB
F:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Runtime\Internal\printer\enumPrinter.vb,50,8,10,32,1,0,0,3,0,1798,1.80 KB
